location,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
South Africa,115363143.0,113041021.0,20670945.0,3361916.0,4222949.0
South Korea,960582981.0,774789153.0,221794132.0,20870729.0,20441965.0
South Sudan,344766.0,272872.0,16180.0,201.0,53810.0
Spain,2124079146.0,1392001301.0,779008972.0,34280781.0,47481514.0
Sri Lanka,208985157.0,170063371.0,38921786.0,5144372.0,5375050.0
Sudan,4575178.0,3928832.0,646346.0,45572.0,666167.0
Suriname,6736704.0,5673136.0,1062379.0,98368.0,213663.0
Sweden,123539774.0,81301588.0,42238186.0,440566.0,9211781.0
Switzerland,515366187.0,314394877.0,193297145.0,7937667.0,7858799.0
Tajikistan,1585367.0,1473250.0,112117.0,0.0,295907.0
Thailand,429306819.0,310355164.0,118951865.0,12356320.0,12181992.0
Timor,1374207.0,1248901.0,125306.0,0.0,267300.0
Togo,1362695.0,1197197.0,165498.0,0.0,332003.0
Trinidad and Tobago,13085313.0,10373022.0,2712291.0,358900.0,367084.0
Tunisia,92558023.0,66516567.0,26040646.0,2025316.0,2135573.0
Turkey,3841863557.0,2394539862.0,1365727772.0,60715328.0,59274839.0
Uganda,36798278.0,36789139.0,9139.0,561979.0,1074075.0
Ukraine,137964019.0,114108208.0,23855811.0,3271179.0,3532973.0
United Arab Emirates,1570685798.0,83814057.0,70927782.0,14092274.0,15210236.0
United Kingdom,7682640996.0,5327492276.0,2355148720.0,78514886.0,80712148.0
United States,33042691596.0,19691670660.0,14074894198.0,320833437.0,333855501.0
Uruguay,280180105.0,177864153.0,102315952.0,4411835.0,4332729.0
Uzbekistan,17867339.0,11739626.0,3655715.0,78652.0,3377568.0
Vanuatu,38238.0,38238.0,0.0,0.0,12895.0
Vietnam,128835843.0,126729399.0,6222295.0,3446613.0,4055208.0
Yemen,1593637.0,1585060.0,8577.0,0.0,285946.0
Zambia,5697166.0,5215819.0,481347.0,129998.0,192717.0
Zimbabwe,85599937.0,57782244.0,27817693.0,1546893.0,1483107.0
